id,word_vocalized,word_clean,transliteration,root,pos,semantic_intent,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags,searchable_text
1,أُمّ حُبَيْل,ام حبيل,umm Hubayl,حبل,Noun,object,العنكبوت,اسم يطلقه الحضارم على حشرة العنكبوت.,general,"[""عنكبوت""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""f"": ""انظر، العنكبوت بنت بيتها في الزاوية."", ""h"": """"}, {""f"": ""أزل العنكبوت من السقف."", ""h"": ""ميل أم حبيل من السقف.""}]",[],"[""nature"", ""insects""]","الكلمة: أُمّ حُبَيْل (ام حبيل)
الجذر: حبل
الفصحى: العنكبوت
المعنى: اسم يطلقه الحضارم على حشرة العنكبوت.
المرادفات: عنكبوت
الوسوم: nature، insects"
2,إبِطْ,ابط,ibT,بطأ,Noun,action,التباطؤ والتريث,التأني وعدم الاستعجال في الأمر، ويستخدم غالباً في سياق الحث على الدقة.,general,"[""تأني"", ""تريث""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""f"": ""تأنَّ في عملك تنجزه أسرع (بجودة)."", ""h"": ""إبط في شغلك تسرع في الإنجاز.""}, {""f"": ""لا تتهور، فالتريث خير لك."", ""h"": ""لا تتهور، الإبط خير لك.""}]","[""إبط تسرع"", ""في التأني السلامة وفي العجلة الندامة""]","[""behavior"", ""wisdom""]","الكلمة: إبِطْ (ابط)
الجذر: بطأ
الفصحى: التباطؤ والتريث
المعنى: التأني وعدم الاستعجال في الأمر، ويستخدم غالباً في سياق الحث على الدقة.
المرادفات: تأني، تريث
مثال: إبط في شغلك تسرع في الإنجاز.
الوسوم: behavior، wisdom"
3,الأَمَات,الامات,al-amaat,أمم,Noun,object,المشيمة,الغشاء أو الكيس الذي يخرج مع الجنين عند الولادة.,general,"[""خلاص""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""f"": ""خرجت المشيمة بعد الولادة مباشرة."", ""h"": ""خرجت الأمات بعد الولادة مباشرة.""}]",[],"[""biology"", ""medical""]","الكلمة: الأَمَات (الامات)
الجذر: أمم
الفصحى: المشيمة
المعنى: الغشاء أو الكيس الذي يخرج مع الجنين عند الولادة.
المرادفات: خلاص
مثال: خرجت الأمات بعد الولادة مباشرة.
الوسوم: biology، medical"
4,أَبُوي,ابوي,abuy,أبو,Noun,person,الأب أو الوالد,لفظ يطلق على الأب، والواو ضرورية في نطقها فلا يقال (أبي)، وللمنادى يقال: أباه أو يابوي.,general,"[""أباه"", ""يابه"", ""باه""]",[],تختلف صيغ المنادى حسب المنطقة والقبيلة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""f"": ""والدي ذهب إلى السوق في الصباح."", ""h"": ""أبوي راح السوق الصبح.""}, {""f"": ""يا أبي أريدك في موضوع."", ""h"": ""يا بوي بغيتك في كلمة.""}]",[],"[""social customs"", ""family""]","الكلمة: أَبُوي (ابوي)
الجذر: أبو
الفصحى: الأب أو الوالد
المعنى: لفظ يطلق على الأب، والواو ضرورية في نطقها فلا يقال (أبي)، وللمنادى يقال: أباه أو يابوي.
المرادفات: أباه، يابه، باه
مثال: أبوي راح السوق الصبح.
الوسوم: social customs، family
ملاحظة: تختلف صيغ المنادى حسب المنطقة والقبيلة."
5,أُبّب,ابب,ubbab,أبب,Expression,expression,تعبير عن التأكد الشديد أو الاندهاش,لفظة سماعية تستخدم للتأكيد أو المبالغة أو إظهار الاستغراب والاندهاش.,general,"[""أبببب""]",[],تتكرر الباء حسب درجة المبالغة المطلوبة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""f"": ""أنا معكم بكل تأكيد."", ""h"": ""أُبب أنا معاكم وراكم.""}, {""f"": ""يا للهول، انظر إلى طول هذا الجبل."", ""h"": ""أُببببب شوف هذا الجبل ما أطوله.""}]",[],"[""emotions"", ""expressions""]","الكلمة: أُبّب (ابب)
الجذر: أبب
الفصحى: تعبير عن التأكد الشديد أو الاندهاش
المعنى: لفظة سماعية تستخدم للتأكيد أو المبالغة أو إظهار الاستغراب والاندهاش.
المرادفات: أبببب
مثال: أُبب أنا معاكم وراكم.
الوسوم: emotions، expressions
ملاحظة: تتكرر الباء حسب درجة المبالغة المطلوبة."
6,أَبَداً,ابدا,abada,أبد,Expression,expression,للنفي القاطع,تستخدم للنفي القاطع وتأتي منونة في الغالب.,general,"[""أبد""]",[],البعض ينطقها (أبد) بدون تنوين.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""f"": ""لم أخرج إلى الشارع اليوم أبداً."", ""h"": ""ابدا ما قد خرجت الشارع اليوم.""}, {""f"": ""لم يحدث مثل هذا الأمر قط."", ""h"": ""ابدا ما قد حصل كذا.""}]",[],"[""daily life""]","الكلمة: أَبَداً (ابدا)
الجذر: أبد
الفصحى: للنفي القاطع
المعنى: تستخدم للنفي القاطع وتأتي منونة في الغالب.
المرادفات: أبد
مثال: ابدا ما قد خرجت الشارع اليوم.
الوسوم: daily life
ملاحظة: البعض ينطقها (أبد) بدون تنوين."
7,أَثَرَه,اثره,atharha,أثر,Expression,expression,تبيّن أو اتضح أن..,تعبير يستخدم عندما يتبين خلاف ما كان يُظن أو يُتوقع.,general,"[""أتاريه""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""f"": ""بحثت عنه في المكلا واتضح لي أنه سافر."", ""h"": ""دورت عليه في المكلا أثره سافر.""}, {""f"": ""صدقتك بينما الحقيقة أنك تكذب."", ""h"": ""صدقتك أثرك تكذب.""}]",[],"[""daily life""]","الكلمة: أَثَرَه (اثره)
الجذر: أثر
الفصحى: تبيّن أو اتضح أن..
المعنى: تعبير يستخدم عندما يتبين خلاف ما كان يُظن أو يُتوقع.
المرادفات: أتاريه
مثال: دورت عليه في المكلا أثره سافر.
الوسوم: daily life"
8,أَثَّر,اثر,aththar,أثر,Verb,action,ترك أثراً أو نتيجة,بمعنى ترك انطباعاً أو علامة، أو تأثر بشخص أو قضية.,general,[],[],تأتي بتشديد الثاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""f"": ""تأثر بصديقه في الدراسة."", ""h"": ""أثّر عليه صديقه في الدراسة.""}, {""f"": ""هذا الولد لا تنفع معه وسيلة التأديب الجسدية."", ""h"": ""هذا الولد ما يتأثر فيه الضرب.""}]",[],"[""daily life"", ""behavior""]","الكلمة: أَثَّر (اثر)
الجذر: أثر
الفصحى: ترك أثراً أو نتيجة
المعنى: بمعنى ترك انطباعاً أو علامة، أو تأثر بشخص أو قضية.
مثال: أثّر عليه صديقه في الدراسة.
الوسوم: daily life، behavior
ملاحظة: تأتي بتشديد الثاء."
9,إِثّم,اثم,ithim,أثم,Noun,object,الفم,لفظ يطلق على فم الإنسان في اللهجة الحضرمية.,general,"[""ثمة""]",[],يستخدم أحياناً في سياق ذم كثرة الكلام.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""سالمين لديه رغبة شديدة في الحديث."", ""h"": ""سالمين إثّمه ملاَن بالكلام.""}, {""f"": ""لسانه منطلق في غيبة الناس."", ""h"": ""إثّمه مفتوحة على الناس.""}]","[""إيدي في إثمه وصبعه في عيني""]","[""biology"", ""emotions""]","الكلمة: إِثّم (اثم)
الجذر: أثم
الفصحى: الفم
المعنى: لفظ يطلق على فم الإنسان في اللهجة الحضرمية.
المرادفات: ثمة
مثال: سالمين إثّمه ملاَن بالكلام.
الوسوم: biology، emotions
ملاحظة: يستخدم أحياناً في سياق ذم كثرة الكلام."
10,أَرْبِيِه,اربيه,arbiyeh,ربى,Noun,descriptor,التهاب غدي في الفخذ,تصلبات وآلام عضلية في منطقة الفخذ (بجانب العانة) تصاحبها حمى، تنتج غالباً عن جرح أو حقنة غير صحيحة.,general,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""f"": ""أصيب الولد بالتهاب في الفخذ بسبب الحقنة."", ""h"": ""مسكين الولد جت له أربيه من الابره.""}]",[],"[""medical""]","الكلمة: أَرْبِيِه (اربيه)
الجذر: ربى
الفصحى: التهاب غدي في الفخذ
المعنى: تصلبات وآلام عضلية في منطقة الفخذ (بجانب العانة) تصاحبها حمى، تنتج غالباً عن جرح أو حقنة غير صحيحة.
مثال: مسكين الولد جت له أربيه من الابره.
الوسوم: medical"
